City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Kelowna,Canadá,1345.0,507.51,WestJet,YLW,2023-06-08,2023-06-12,http://kayak.com/flights/DEN-YLW/2023-06-08/2023-06-12/,507.51,1.0
Vitória,Canadá,1041.0,817.66,Alaska Airlines,YYJ,2023-06-19,2023-06-23,http://kayak.com/flights/DEN-YYJ/2023-06-19/2023-06-23/,817.66,1.0
Papete,Polinésia Francesa,1273.0,1108.06,United Airlines,PPT,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-PPT/2023-06-03/2023-06-10/,1108.06,1.0
Wilmington,Estados Unidos,626.0,736.83,American Airlines,ILM,2023-06-12,2023-06-18,http://kayak.com/flights/DEN-ILM/2023-06-12/2023-06-18/,736.83,1.0
Grande Caimão,Ilhas Cayman,900.0,566.72,United Airlines,GCM,2023-06-01,2023-06-08,http://kayak.com/flights/DEN-GCM/2023-06-01/2023-06-08/,566.72,1.0
Jackson,Estados Unidos,99.0,580.82,United Airlines,JAC,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-JAC/2023-06-17/2023-06-24/,580.82,1.0
Willemstad,Curaçao,1944.0,781.0,United Airlines,CUR,2023-06-09,2023-06-14,http://kayak.com/flights/DEN-CUR/2023-06-09/2023-06-14/,781.0,1.0
Fairbanks,Estados Unidos,603.0,782.88,Delta,FAI,2023-06-02,2023-06-09,http://kayak.com/flights/DEN-FAI/2023-06-02/2023-06-09/,782.88,1.0
Manchester,Estados Unidos,576.0,574.24,American Airlines,MHT,2023-06-20,2023-06-27,http://kayak.com/flights/DEN-MHT/2023-06-20/2023-06-27/,574.24,1.0
Billings,Estados Unidos,108.0,402.25,United Airlines,BIL,2023-06-03,2023-06-08,http://kayak.com/flights/DEN-BIL/2023-06-03/2023-06-08/,402.25,1.0
Daytona Beach,Estados Unidos,406.0,495.3,Delta,DAB,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-DAB/2023-06-17/2023-06-24/,495.3,1.0
Hamilton,Bermudas,537.0,662.59,Várias companhias aéreas,BDA,2023-06-13,2023-06-20,http://kayak.com/flights/DEN-BDA/2023-06-13/2023-06-20/,662.59,1.0
New Windsor,Estados Unidos,749.0,976.49,Frontier,SWF,2023-06-07,2023-06-11,http://kayak.com/flights/DEN-SWF/2023-06-07/2023-06-11/,976.49,1.0
Cedar Rapids,Estados Unidos,672.0,242.48,Delta,CID,2023-06-02,2023-06-06,http://kayak.com/flights/DEN-CID/2023-06-02/2023-06-06/,242.48,1.0
Sioux Falls,Estados Unidos,336.0,331.76,Delta,FSD,2023-06-16,2023-06-20,http://kayak.com/flights/DEN-FSD/2023-06-16/2023-06-20/,331.76,1.0
Pasco,Estados Unidos,1491.0,371.24,Alaska Airlines,PSC,2023-06-08,2023-06-12,http://kayak.com/flights/DEN-PSC/2023-06-08/2023-06-12/,371.24,1.0
Lexington,Estados Unidos,450.0,688.9,Delta,LEX,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-LEX/2023-06-01/2023-06-05/,688.9,1.0
Springfield,Estados Unidos,515.0,250.94,Delta,SGF,2023-06-07,2023-06-12,http://kayak.com/flights/DEN-SGF/2023-06-07/2023-06-12/,250.94,1.0
Santa Barbara,Estados Unidos,154.0,317.67,United Airlines,SBA,2023-06-02,2023-06-07,http://kayak.com/flights/DEN-SBA/2023-06-02/2023-06-07/,317.67,1.0
Fargo,Estados Unidos,258.0,552.63,Delta,FAR,2023-06-19,2023-06-26,http://kayak.com/flights/DEN-FAR/2023-06-19/2023-06-26/,552.63,1.0
