City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Telavive,Israel,1515.0,176.69,Várias companhias aéreas,TLV,2023-06-12,2023-06-18,http://kayak.com/flights/OPO-TLV/2023-06-12/2023-06-18/,176.69,1.0
Toronto,Canadá,1910.0,449.24,United Airlines,YYZ,2023-04-13,2023-04-20,http://kayak.com/flights/OPO-YYZ/2023-04-13/2023-04-20/,449.24,1.0
Fort Lauderdale,Estados Unidos,1068.0,1898.46,Várias companhias aéreas,FLL,2023-03-13,2023-03-20,http://kayak.com/flights/OPO-FLL/2023-03-13/2023-03-20/,1898.46,1.0
Istambul,Turquia,870.0,287.59,Várias companhias aéreas,IST,2023-04-11,2023-04-18,http://kayak.com/flights/OPO-IST/2023-04-11/2023-04-18/,287.59,1.0
Palma de Maiorca,Espanha,465.0,76.13,Várias companhias aéreas,PMI,2023-04-11,2023-04-18,http://kayak.com/flights/OPO-PMI/2023-04-11/2023-04-18/,76.13,1.0
Dublin,Irlanda,1920.0,318.61,SWISS,DUB,2023-06-13,2023-06-17,http://kayak.com/flights/OPO-DUB/2023-06-13/2023-06-17/,318.61,1.0
Tóquio,Japão,2075.0,1249.04,Várias companhias aéreas,TYO,2023-09-08,2023-09-12,http://kayak.com/flights/OPO-TYO/2023-09-08/2023-09-12/,1249.04,1.0
Bruxelas,Bélgica,575.0,69.55,Ryanair,BRU,2023-04-19,2023-04-26,http://kayak.com/flights/OPO-BRU/2023-04-19/2023-04-26/,69.55,1.0
Málaga,Espanha,640.0,96.81,Várias companhias aéreas,AGP,2023-08-28,2023-09-03,http://kayak.com/flights/OPO-AGP/2023-08-28/2023-09-03/,96.81,1.0
Manchester,Reino Unido,325.0,99.63,Ryanair,MAN,2023-04-05,2023-04-10,http://kayak.com/flights/OPO-MAN/2023-04-05/2023-04-10/,99.63,1.0
Oslo,Noruega,485.0,172.93,Várias companhias aéreas,OSL,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-OSL/2023-06-07/2023-06-13/,172.93,1.0
Denpasar,Indonésia,2805.0,1256.56,Várias companhias aéreas,DPS,2023-09-02,2023-09-09,http://kayak.com/flights/OPO-DPS/2023-09-02/2023-09-09/,1256.56,1.0
Dusseldorf,Alemanha,160.0,157.9,Ryanair,DUS,2023-08-25,2023-08-29,http://kayak.com/flights/OPO-DUS/2023-08-25/2023-08-29/,157.9,1.0
Joanesburgo,África do Sul,2240.0,619.35,SWISS,JNB,2023-04-25,2023-05-02,http://kayak.com/flights/OPO-JNB/2023-04-25/2023-05-02/,619.35,1.0
Mumbai,Índia,2715.0,1419.15,Iberia,BOM,2023-03-12,2023-03-18,http://kayak.com/flights/OPO-BOM/2023-03-12/2023-03-18/,1419.15,1.0
Lyon,França,255.0,296.99,Várias companhias aéreas,LYS,2023-04-02,2023-04-09,http://kayak.com/flights/OPO-LYS/2023-04-02/2023-04-09/,296.99,1.0
Helsínquia,Finlândia,1010.0,177.63,Várias companhias aéreas,HEL,2023-04-26,2023-05-02,http://kayak.com/flights/OPO-HEL/2023-04-26/2023-05-02/,177.63,1.0
Hamburgo,Alemanha,925.0,189.85,Ryanair,HAM,2023-05-23,2023-05-28,http://kayak.com/flights/OPO-HAM/2023-05-23/2023-05-28/,189.85,1.0
São Paulo,Brasil,1540.0,856.19,Várias companhias aéreas,SAO,2023-03-13,2023-03-20,http://kayak.com/flights/OPO-SAO/2023-03-13/2023-03-20/,856.19,1.0
Cairo,Egito,2490.0,660.71,Várias companhias aéreas,CAI,2023-04-22,2023-04-29,http://kayak.com/flights/OPO-CAI/2023-04-22/2023-04-29/,660.71,1.0
Lima,Perú,1375.0,921.98,Air Europa,LIM,2023-09-15,2023-09-22,http://kayak.com/flights/OPO-LIM/2023-09-15/2023-09-22/,921.98,1.0
Kuala Lumpur,Malásia,1760.0,1555.42,KLM,KUL,2023-03-21,2023-03-25,http://kayak.com/flights/OPO-KUL/2023-03-21/2023-03-25/,1555.42,1.0
Praga,República Checa,1550.0,208.65,Ryanair,PRG,2023-04-22,2023-04-26,http://kayak.com/flights/OPO-PRG/2023-04-22/2023-04-26/,208.65,1.0
San José,Costa Rica,3323.0,847.73,Air France,SJO,2023-04-25,2023-05-02,http://kayak.com/flights/OPO-SJO/2023-04-25/2023-05-02/,847.73,1.0
Marselha,França,125.0,41.36,Ryanair,MRS,2023-03-24,2023-03-28,http://kayak.com/flights/OPO-MRS/2023-03-24/2023-03-28/,41.36,1.0
Budapeste,Hungria,480.0,108.09,Várias companhias aéreas,BUD,2023-05-04,2023-05-11,http://kayak.com/flights/OPO-BUD/2023-05-04/2023-05-11/,108.09,1.0
São Diego,Estados Unidos,2507.0,839.27,British Airways,SAN,2023-04-22,2023-04-28,http://kayak.com/flights/OPO-SAN/2023-04-22/2023-04-28/,839.27,1.0
Seul,Coreia do Sul,1755.0,1242.46,Várias companhias aéreas,SEL,2023-03-30,2023-04-03,http://kayak.com/flights/OPO-SEL/2023-03-30/2023-04-03/,1242.46,1.0
Nice,França,290.0,95.87,Várias companhias aéreas,NCE,2023-03-22,2023-03-27,http://kayak.com/flights/OPO-NCE/2023-03-22/2023-03-27/,95.87,1.0
Genebra,Suíça,360.0,232.14,Várias companhias aéreas,GVA,2023-04-03,2023-04-09,http://kayak.com/flights/OPO-GVA/2023-04-03/2023-04-09/,232.14,1.0
Estocolmo,Suécia,495.0,148.5,Ryanair,ARN,2023-06-21,2023-06-28,http://kayak.com/flights/OPO-ARN/2023-06-21/2023-06-28/,148.5,1.0
Veneza,Itália,1275.0,91.17,Ryanair,VCE,2023-04-27,2023-05-02,http://kayak.com/flights/OPO-VCE/2023-04-27/2023-05-02/,91.17,1.0
Austin,Estados Unidos,1660.0,710.52,Várias companhias aéreas,AUS,2023-04-05,2023-04-09,http://kayak.com/flights/OPO-AUS/2023-04-05/2023-04-09/,710.52,1.0
Billund,Dinamarca,190.0,92.11,Ryanair,BLL,2023-04-04,2023-04-08,http://kayak.com/flights/OPO-BLL/2023-04-04/2023-04-08/,92.11,1.0
Nápoles,Itália,680.0,151.32,Várias companhias aéreas,NAP,2023-09-26,2023-09-30,http://kayak.com/flights/OPO-NAP/2023-09-26/2023-09-30/,151.32,1.0
Nantes,França,1155.0,123.12,Várias companhias aéreas,NTE,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-NTE/2023-06-03/2023-06-10/,123.12,1.0
Cracóvia,Polónia,570.0,203.01,Várias companhias aéreas,KRK,2023-04-30,2023-05-04,http://kayak.com/flights/OPO-KRK/2023-04-30/2023-05-04/,203.01,1.0
Buenos Aires,Argentina,2545.0,981.19,LATAM Airlines,BUE,2023-09-14,2023-09-18,http://kayak.com/flights/OPO-BUE/2023-09-14/2023-09-18/,981.19,1.0
Edimburgo,Reino Unido,1565.0,115.6,Várias companhias aéreas,EDI,2023-04-26,2023-04-30,http://kayak.com/flights/OPO-EDI/2023-04-26/2023-04-30/,115.6,1.0
Alicante,Espanha,100.0,48.88,Ryanair,ALC,2023-05-23,2023-05-28,http://kayak.com/flights/OPO-ALC/2023-05-23/2023-05-28/,48.88,1.0
Marraquexe,Marrocos,715.0,108.09,Ryanair,RAK,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-RAK/2023-06-17/2023-06-24/,108.09,1.0
Medellín,Colômbia,1627.0,1093.03,Várias companhias aéreas,MDE,2023-04-02,2023-04-09,http://kayak.com/flights/OPO-MDE/2023-04-02/2023-04-09/,1093.03,1.0
Gotemburgo,Suécia,1075.0,198.31,Várias companhias aéreas,GOT,2023-03-26,2023-04-01,http://kayak.com/flights/OPO-GOT/2023-03-26/2023-04-01/,198.31,1.0
Estugarda,Alemanha,1315.0,288.53,SWISS,STR,2023-04-08,2023-04-14,http://kayak.com/flights/OPO-STR/2023-04-08/2023-04-14/,288.53,1.0
Valência,Espanha,915.0,68.61,Ryanair,VLC,2023-05-03,2023-05-08,http://kayak.com/flights/OPO-VLC/2023-05-03/2023-05-08/,68.61,1.0
Rio de Janeiro,Brasil,1360.0,794.16,KLM,RIO,2023-11-22,2023-11-29,http://kayak.com/flights/OPO-RIO/2023-11-22/2023-11-29/,794.16,1.0
